"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"1","Total, all occupations",139869,"42.1","00-0000","12728.08","35246.99","30771.18","12588.21","30211.70","12588.21","5734.63","2010","00-000"
"2","General and operations managers",978,"45.4","11-1021","   21.52","  153.55","  237.65","   82.15","  332.52","  124.21","  25.43","2010","11-102"
"3","Agents and business managers of artists, performers, and athletes",48,"–","13-1011","    0.86","    6.00","   10.42","    3.02","   20.35","    4.85","   2.54","2010","13-101"
"4","Buyers and purchasing agents, farm products",12,"–","13-1021","    1.04","    3.50","    2.17","    1.04","    3.54","    0.67","   0.02","2010","13-102"
"5","Compliance officers",198,"45.9","13-1041","    1.98","   21.98","   38.21","   20.00","   75.04","   31.09","   9.90","2010","13-104"
"6","Cost estimators",119,"44.7","13-1051","    2.50","   28.68","   34.15","   13.80","   33.80","    5.47","   0.48","2010","13-105"
"7","Logisticians",88,"41.6","13-1081","    1.32","   12.23","   25.17","   12.50","   26.93","    9.33","   0.44","2010","13-108"
"8","Management analysts",707,"46.6","13-1111","    4.95","   33.94","   91.20","   34.64","  291.99","  202.91","  48.08","2010","13-111"
"9","Meeting, convention, and event planners",109,"37.4","13-1121","    1.85","   12.10","   22.45","    7.19","   53.52","   10.90","   1.09","2010","13-112"
"10","Fundraisers",78,"41.2","13-1131","    1.09","    3.98","    8.19","    2.34","   39.31","   19.73","   3.35","2010","13-113"
"11","Compensation, benefits, and job analysis specialists",65,"44.4","13-1141","    0.06","    8.64","   17.55","    7.67","   23.79","    6.63","   0.65","2010","13-114"
"12","Training and development specialists",130,"45","13-1151","    1.56","   16.77","   32.50","   11.18","   42.64","   21.97","   3.25","2010","13-115"
"13","Market research analysts and marketing specialists",205,"36.4","13-1161","    1.23","    9.43","   25.21","   11.69","  104.34","   46.12","   6.77","2010","13-116"
"14","Business operations specialists, all other",281,"43.6","13-1199","    5.34","   34.28","   57.04","   26.98","   99.75","   46.93","  10.68","2010","13-119"
"15","Accountants and auditors",1653,"43.1","13-2011","    1.65","   67.77","  130.59","  157.03","  943.86","  309.11","  42.98","2010","13-201"
"16","Appraisers and assessors of real estate",88,"50.6","13-2021","    0.62","   10.65","   24.20","    9.42","   33.97","    7.04","   2.20","2010","13-202"
"17","Budget analysts",53,"45.2","13-2031","    0.16","    3.71","    8.16","    4.66","   22.15","   13.14","   1.06","2010","13-203"
"18","Credit analysts",24,"–","13-2041","    0.34","    2.33","    4.20","    1.94","   10.54","    4.08","   0.58","2010","13-204"
"19","Financial analysts",84,"39.299999999999997","13-2051","    0.25","    2.69","    6.38","    2.35","   38.89","   28.56","   4.87","2010","13-205"
"20","Financial examiners",8,"–","13-2061","    0.02","    0.40","    0.90","    0.28","    4.26","    1.79","   0.34","2010","13-206"
"21","Tax examiners and collectors, and revenue agents",70,"47.3","13-2081","    0.98","   11.41","   16.73","    6.93","   26.53","    6.58","   0.98","2010","13-208"
"22","Financial specialists, all other",77,"43","13-2099","    1.00","    7.93","   16.48","    5.78","   29.64","   14.17","   2.00","2010","13-209"
"23","Computer and information research scientists",20,"–","15-1111","    0.10","    0.30","    0.78","    0.54","    8.50","    6.02","   3.80","2010","15-111"
"24","Computer systems analysts",447,"43.1","15-1121","    2.23","   21.01","   66.60","   36.65","  212.77","   97.45","  10.28","2010","15-112"
"25","Computer programmers",459,"41.8","15-1131","    2.29","   21.57","   63.34","   40.39","  231.34","   87.67","  12.39","2010","15-113"
"26","Database administrators",134,"42.5","15-1141","    0.67","    8.04","   21.04","   12.46","   63.52","   24.79","   3.48","2010","15-114"
"27","Computer occupations, all other",306,"40.799999999999997","15-1199","    2.45","   28.76","   72.22","   45.59","  114.44","   39.17","   3.37","2010","15-119"
"28","Actuaries",18,"–","15-2011","    0.00","    0.00","    0.09","    0.07","   10.76","    4.66","   2.43","2010","15-201"
"29","Operations research analysts",116,"41.3","15-2031","    0.23","    6.50","   17.98","    9.51","   45.47","   30.86","   5.34","2010","15-203"
"30","Aerospace engineers",144,"43.9","17-2011","    0.14","    3.17","   10.66","    7.78","   68.98","   45.79","   7.34","2010","17-201"
"31","Chemical engineers",74,"43.1","17-2041","    0.00","    2.22","    3.40","    2.89","   40.92","   17.32","   7.25","2010","17-204"
"32","Civil engineers",383,"42.5","17-2051","    0.38","   10.72","   27.19","   18.00","  222.52","   90.39","  13.79","2010","17-205"
"33","Computer hardware engineers",77,"41.7","17-2061","    0.00","    3.85","   10.09","    7.47","   34.42","   18.56","   2.62","2010","17-206"
"34","Environmental engineers",45,"–","17-2081","    0.09","    1.76","    1.76","    1.89","   21.33","   15.97","   2.25","2010","17-208"
"35","Marine engineers and naval architects",9,"–","17-2121","    0.00","    0.89","    1.07","    0.82","    4.25","    1.74","   0.23","2010","17-212"
"36","Materials engineers",32,"–","17-2131","    0.00","    2.08","    3.07","    2.75","   15.87","    6.34","   1.92","2010","17-213"
"37","Mechanical engineers",322,"42.5","17-2141","    0.32","   15.13","   30.27","   36.71","  166.15","   64.08","   9.34","2010","17-214"
"38","Surveying and mapping technicians",62,"43.1","17-3031","    2.67","   16.62","   22.82","   13.02","    5.95","    0.74","   0.19","2010","17-303"
"39","Atmospheric and space scientists",7,"–","19-2021","    0.00","    0.00","    0.44","    0.20","    3.28","    1.99","   1.09","2010","19-202"
"40","Physical scientists, all other",152,"40.4","19-2099","    0.15","    0.00","    0.30","    1.37","   36.78","   34.66","  78.74","2010","19-209"
"41","Economists",23,"–","19-3011","    0.05","    0.12","    0.09","    0.05","    5.08","    9.54","   8.10","2010","19-301"
"42","Urban and regional planners",26,"–","19-3051","    0.00","    0.08","    1.07","    0.55","   10.37","   12.69","   1.22","2010","19-305"
